title,cuisines,reviews,star rating,restaurant serial number,cuisines_melt,cuisines_all
Émile Restaurant & Bar,"French, Austrian",311,4.5,193,cuisine_1,French
Restaurant Führich,Austrian,1131,4.0,194,cuisine_1,Austrian
Magazin,"Austrian, European",429,4.0,195,cuisine_1,Austrian
Trilogie,"Mediterranean, European",292,4.5,196,cuisine_1,Mediterranean
Pizza Mari',"Italian, Pizza",576,4.0,197,cuisine_1,Italian
Mochi Ramen Bar,"Japanese, Bar",147,4.5,198,cuisine_1,Japanese
Figlmueller Backerstraße,"German, Austrian",4842,4.0,199,cuisine_1,German
Eiles,"Coffee & Tea, Austrian",1434,4.0,200,cuisine_1,Coffee & Tea
Crossfield's Australian Pub,"Bar, International",729,4.0,201,cuisine_1,Bar
Cafe Central,"Coffee & Tea, German",13869,4.0,202,cuisine_1,Coffee & Tea
Demi Tass,Indian,392,4.5,203,cuisine_1,Indian
El Gaucho am Rochusmarkt,"Steakhouse, Argentinean",413,4.0,204,cuisine_1,Steakhouse
Konstantin Filippou,"International, European",464,4.0,205,cuisine_1,International
Beim Czaak,"Austrian, Healthy",829,4.0,206,cuisine_1,Austrian
Nalin KeepUp 06,"Fast Food, International",66,5.0,207,cuisine_1,Fast Food
DO & CO Stephansplatz,"Austrian, International",1593,4.0,208,cuisine_1,Austrian
Senhor Vinho,"Seafood, Mediterranean",187,4.5,209,cuisine_1,Seafood
Joma,"Austrian, International",777,4.0,210,cuisine_1,Austrian
Beaver Brewing Company,"American, Brew Pub",211,4.5,211,cuisine_1,American
Meissl & Schadn Vienna,"Austrian, European",1131,4.0,212,cuisine_1,Austrian
Jonathan & Sieglinde,"Austrian, European",260,4.5,213,cuisine_1,Austrian
Restaurant Stasta,"Austrian, European",143,4.5,214,cuisine_1,Austrian
Blueorange,"Coffee & Tea, Cafe",234,4.5,215,cuisine_1,Coffee & Tea
Elissar,Lebanese,342,4.0,216,cuisine_1,Lebanese
Centimeter I beim Rathaus,"Austrian, Pub",1253,4.0,217,cuisine_1,Austrian
Chamäleon,"Swiss, European",226,4.5,218,cuisine_1,Swiss
Nautilus Fischrestaurant,"Seafood, Mediterranean",638,4.0,219,cuisine_1,Seafood
Kuchlmasterei,"Italian, French",366,4.5,220,cuisine_1,Italian
Mullers Heuriger & Weingut,"Austrian, European",180,4.5,221,cuisine_1,Austrian
Bermuda Bräu,"German, Austrian",749,4.0,222,cuisine_1,German
Gasthaus Pfudl,"German, Austrian",877,4.0,223,cuisine_1,German
Stadthallen Bräu,"Austrian, Bar",110,4.5,224,cuisine_1,Austrian
Plachutta Stammhaus Hietzing,"Austrian, European",811,4.0,225,cuisine_1,Austrian
Lolo & Lola,"Filipino, International",56,5.0,226,cuisine_1,Filipino
Kurkonditorei Oberlaa,"Coffee & Tea, German",879,4.0,227,cuisine_1,Coffee & Tea
Gourmet Gasthaus Freyenstein,"Austrian, European",180,4.5,228,cuisine_1,Austrian
Glacis Beisl,"Austrian, European",1746,4.0,229,cuisine_1,Austrian
Mayer am Pfarrplatz,Austrian,637,4.0,230,cuisine_1,Austrian
Miznon,"Grill, Healthy",563,4.0,231,cuisine_1,Grill
Hao Noodle and Tea,"Chinese, Asian",198,4.5,232,cuisine_1,Chinese
Kulinarium 7,"Seafood, Croatian",187,4.5,233,cuisine_1,Seafood
Gasthaus Zu den 3 Hacken,"Austrian, European",772,4.0,234,cuisine_1,Austrian
Art Corner,"Mediterranean, European",546,4.0,235,cuisine_1,Mediterranean
La Tana Della Volpe,"Italian, Pizza",46,5.0,236,cuisine_1,Italian
Saigon Restaurant am Getreidemarkt,"Asian, Vietnamese",411,4.0,237,cuisine_1,Asian
